Token,Tag
ihmme,O
Roder,O
habe,O
auch,O
die,O
sach,O
morgens,O
unnd,O
seye,O
Roder,B-PER
darumb,O
von,O
dem,O
knecht,O
geschlagen,O
habe,O
hiemit,O
sach,O
halben,O
ein,O
gut,O
unnd,O
so,O
dem,O
nit,O
allso,O
unnd,O
er,O
schuldig,O
wolte,O
er,O
nit,O
gewartet,O
haben,O
.,O
Ihr,O
in,O
Unnd,O
wylen,O
nun,O
gemelte,O
beide,O
Abraham,B-PER
Roder,I-PER
unnd,O
Samuel,B-PER
Schnyder,I-PER
uß,O
dem,O
weisenhaus,B-PER
inn,O
die,O
obere,O
schafft,O
leggen,O
unnd,O
aller,O
nothurfft,O
nach,O
nochmalen,O
ernstwörtig,O
examinieren,O
sind,O
selbige,O
uß,O
befelch,O
ihr,O
durch,O
den,O
wohlgeachten,O
ehrenvesten,O
.,O
Niclaus,B-PER
Jenner,I-PER
deß,O
täglichen,B-ORG
rahts,I-ORG
als,O
verordneten,O
herren,O
inn,O
der,O
ehrenvesten,O
.,O
den,O
David,B-PER
gleidts,O
herren,O
von,O
Burgeren,O
unnd,O
herren,B-PER
großweibel,B-PER
im,I-PER
Hooffs,I-PER
neben,O
zweyen,O
gelobten,O
dieneren,O
unnd,O
weiblen,O
den,O
28,O
.,O
1664,O
ernstwörtig,O
unnd,O
umbstendlich,O
aller,O
auch,O
was,O
was,O
von,O
was,O
sy,O
was,O
für,O
ein,O
lebwesen,O
sy,O
von,O
an,O
wer,O
ihre,O
gottin,O
unnd,O
Gotten,O
gotten,O
ob,O
sy,O
die,O
unnd,O
kinderlehren,O
ob,O
sy,O
schryben,O
unnd,O
läsen,O
?,O
über,O
welliches,O
alles,O
sy,O
dittsammen,O
unnd,O
verstendigen,O
bericht,O
allso,O
daß,O
diß,O
orts,O
an,O
ihnen,O
kein,O
an,O
der,O
sonderen,O
allein,O
ein,O
große,O
arme,O
einfalt,O
verspürt,O
.,O
Und,O
hat,O
ersteinden,O
Samuel,B-PER
Schnyder,I-PER
wie,O
daß,O
er,O
mh,O
Niclaus,B-PER
Schnyders,B-PER
sel,O
Burgers,O
allhier,O
mit,O
Anna,B-PER
Brunner,B-PER
seiner,O
ehefr,O
sel,O
sohn,O
seinen,O
göttin,O
und,O
gotten,O
auch,O
genambset,O
unnd,O
seye,O
by,O
20,O
allters,O
unnd,O
vor,O
6,O
Jaren,O
inn,O
das,O
weisenhaus,O
allda,O
er,O
neben,O
lesens,O
unnd,O
allein,O
seye,O
worden,O
zu,O
holtz,O
holtz,O
und,O
unnd,O
derglychen,O
unnd,O
zu,O
keinem,O
handwerck,O
nit,O
gebrucht,O
.,O
Und,O
als,O
er,O
letstlichen,O
deß,O
Roders,B-PER
gsell,O
habe,O
ihmme,O
der,O
r,O
ohngefahr,O
4,O
wochen,O
nachts,O
im,O
sein,O
ruthen,O
inn,O
hinderen,O
sat,O
),O
lyb,O
darvon,O
er,O
schmertzen,O
empfunden,O
unnd,O
unnd,O
habe,O
den,O
Roder,B-PER
er,O
sölle,O
ihnne,O
mit,O
friden,O
inn,O
anderen,O
wan,O
er,O
Schnyder,B-PER
habe,O
er,O
ihmme,O
nochmalen,O
gethan,O
by,O
4,O
oder,O
5,O
.,O
Und,O
als,O
er,O
befragt,O
ob,O
er,O
ihmme,O
hat,O
er,O
er,O
habe,O
ihnne,O
allezytt,O
der,O
Roder,B-PER
aber,O
habe,O
nüt,O
darumb,O
thun,O
wollen,O
etc,O
.,O
ob,O
er,O
ihmme,O
die,O
ruthen,O
inn,O
ynen,O
gestoßen,O
unnd,O
ob,O
er,O
nüt,O
daß,O
von,O
ihmme,O
?,O
Hat,O
er,O
ja,O
er,O
hab,O
sy,O
ihmme,O
inn,O
lyb,O
ynen,O
unnd,O
wann,O
er,O
die,O
ruthen,O
usen,O
ihmme,O
sat,O
),O
scheissen,O
uß,O
dem,O
.,O
ob,O
er,O
es,O
gelitten,O
unnd,O
ihme,O
hab,O
machen,O
?,O
sagt,O
er,O
ja,O
er,O
habe,O
alle,O
zytt,O
abgemahnt,O
unnd,O
geheißen,O
ruhig,O
er,O
habe,O
aber,O
nüt,O
darumb,O
wellen,O
etc,O
.,O
warumb,O
er,O
sich,O
nit,O
gewehrt,O
und,O
wylen,O
doch,O
vill,O
andere,O
in,O
der,O
stuben,O
?,O
Hat,O
er,O
gesagt,O
er,O
habe,O
es,O
werde,O
der,O
Roder,B-PER
es,O
sonsten,O
underwegen,O
unnd,O
nit,O
mehr,O
thun,O
etc,O
.,O
Und,O
als,O
er,O
befragt,O
ob,O
er,O
es,O
nit,O
alßbalden,O
jemanden,O
?,O
Sagt,O
er,O
es,O
alßbald,O
einem,O
seiner,O
camerade,O
seye,O
hernach,O
auch,O
dem,O
.,O
gseit,O
.,O
unnd,O
habe,O
er,O
es,O
auch,O
hernach,O
dem,O
.,O
.,O
Über,O
ob,O
er,O
auch,O
gewüßt,O
daß,O
sölliches,O
ein,O
so,O
große,O
sünd,O
?,O
sagt,O
er,O
habe,O
es,O
anfangs,O
nit,O
gewüßt,O
unnd,O
ihmme,O
erst,O
hernach,O
inn,O
sinn,O
daß,O
sölliches,O
sünd,O
.,O
Draus,O
ob,O
er,O
nüt,O
von,O
söllichen,O
hab,O
gehört,O
?,O
sagt,O
er,O
ja,O
er,O
den,O
herren,O
Summel,O
darvon,O
gehört,O
.,O
Item,O
ob,O
er,O
nit,O
auch,O
ein,O
mit,O
ihmme,O
Roder,B-PER
oder,O
mit,O
anderen,O
?,O
hat,O
er,O
gesagt,O
nein,O
er,O
habe,O
nie,O
nüt,O
.,O
Destlichen,O
befragt,O
ob,O
er,O
nit,O
wüße,O
ob,O
Roder,B-PER
mit,O
anderen,O
auch,O
derglychen,O
gethan,O
?,O
sagt,O
er,O
er,O
Roder,B-PER
habe,O
hirvor,O
auch,O
mit,O
Gabriel,B-PER
Herrman,I-PER
derglychen,O
gethan,O
als,O
selbiger,O
sein,O
bett,O
gsell,O
gewesen,O
etc,O
.,O
Er,O
bittett,O
gott,O
unnd,O
ein,O
gnedige,O
ober,O
-,O
kheit,O
umb,O
verzychung,O
er,O
habe,O
den,O
Roder,B-PER
alle,O
zytt,O
abgemahnt,O
der,O
habe,O
aber,O
nüt,O
darumb,O
thun,O
wellen,O
.,O
Als,O
nun,O
Abraham,B-PER
Roder,I-PER
wegen,O
obiger,O
that,O
auch,O
alles,O
ernsts,O
examiniert,O
worden,O
mit,O
glychen,O
umbstenden,O
seines,O
allters,O
nammens,O
elltern,O
gotten,O
und,O
göttin,O
unnd,O
verwanten,O
lebwesens,O
lehrnens,O
und,O
derglychen,O
hat,O
er,O
auch,O
alles,O
verstendlich,O
beantwortet,O
und,O
gemelt,O
;,O
Er,O
heiße,O
Abraham,B-PER
Roder,I-PER
Daniel,B-PER
Roder,I-PER
.,O
seye,O
sein,O
vatter,O
gewesen,O
und,O
sein,O
mutter,O
heiße,O
Margreth,B-PER
Neüwhaus,I-PER
Er,O
seye,O
jetz,O
under,O
24,O
jar,O
alt,O
und,O
inn,O
seiner,O
juget,O
seye,O
er,O
inn,O
die,O
tütsche,B-ORG
schul,B-ORG
gangen,O
auch,O
inn,O
die,O
kinderlehr,O
und,O
predigen,O
unnd,O
könne,O
lesen,O
und,O
schryben,O
seye,O
vor,O
6,O
jaren,O
inn,O
das,O
weisenhaus,B-LOC
gethan,O
worden,O
allda,O
er,O
inn,O
der,O
wullen,O
cammeren,O
habe,O
wullenstrychen,O
unnd,O
andere,O
schwere,O
arbeit,O
den,O
.,O
müßen,O
verrichten,O
helffen,O
unnd,O
seye,O
jetz,O
under,O
inn,O
die,O
lißmer,O
stuben,O
kommen,O
habe,O
annoch,O
kein,O
handwerck,O
erlehrnet,O
.,O
Und,O
als,O
er,O
befragt,O
worden,O
ob,O
er,O
niemahlen,O
vonn,O
disem,O
schandlichen,O
laster,O
der,O
gehört,O
predigen,O
?,O
sagt,O
er,O
ja,O
4,O
Item,O
befragt,O
wer,O
ihme,O
solliche,O
wüste,O
that,O
inn,O
sin,O
geben,O
?,O
sagt,O
er,O
niemand,O
.,O
Es,O
seye,O
ihmme,O
zu,O
nacht,O
sein,O
ruthen,O
allso,O
an,O
seinen,O
schlaffgesellen,O
kommen,O
da,O
habe,O
er,O
sy,O
allso,O
ihmme,O
im,O
schlaff,O
inn,O
lyb,O
gestoßen,O
.,O
Denne,O
befragt,O
ob,O
sein,O
schlaffgesell,O
es,O
nit,O
gespürt,O
unnd,O
sich,O
gewehrt,O
?,O
sagt,O
er,O
er,O
seye,O
darob,O
erwachet,O
und,O
habe,O
ihnne,O
abge,O
-,O
mahnt,O
unnd,O
sich,O
umbgekehrt,O
da,O
habe,O
er,O
es,O
blyben,O
laßen,O
.,O
Verners,O
als,O
er,O
befragt,O
worden,O
ob,O
er,O
es,O
offt,O
mit,O
ihmme,O
?,O
sagt,O
er,O
nur,O
by,O
4,O
oder,O
5,O
mahlen,O
er,O
habe,O
alle,O
zytt,O
ange,O
-,O
fangen,O
wan,O
sein,O
bettgsell,O
entschlaffen,O
gewesen,O
.,O
Weiters,O
befragt,O
ob,O
er,O
ihme,O
nit,O
allezytt,O
hab,O
abgemahnt,O
?,O
sagt,O
er,O
ja,O
es,O
seye,O
ohnge,O
-,O
fahr,O
4,O
wochen,O
das,O
er,O
angefangen,O
mit,O
dem,O
gemellten,O
Schnyder,B-PER
seinem,O
schlaffgesellen,O
die,O
that,O
veruben,O
da,O
selbiger,O
geschlaffen,O
habe,O
er,O
ihmme,O
die,O
that,O
gethan,O
und,O
als,O
der,O
Schnyder,B-PER
erwachet,O
habe,O
er,O
sich,O
umbgewendt,O
unnd,O
ihnne,O
abgemahnt,O
und,O
gesagt,O
was,O
er,O
mache,O
.,O
Und,O
als,O
er,O
gefragt,O
worden,O
ob,O
er,O
ihnne,O
dan,O
allzytt,O
hab,O
außmachen,O
laßen,O
?,O
sagt,O
er,O
ja,O
.,O
Auch,O
befragt,O
ob,O
er,O
den,O
samen,O
ihmme,O
inn,O
lyb,O
entgehen,O
laßen,O
?,O
sagt,O
er,O
ja,O
.,O
Item,O
befragt,O
ob,O
er,O
auch,O
mit,O
anderen,O
sölliche,O
wüste,O
that,O
verübt,O
unnd,O
ob,O
jemand,O
sölliche,O
that,O
an,O
ihmme,O
verübt,O
oder,O
ihmme,O
sölliches,O
inn,O
sinn,O
geben,O
heige,O
?,O
sagt,O
er,O
nein,O
es,O
habe,O
nimandts,O
die,O
that,O
an,O
ihmme,O
verübt,O
und,O
habe,O
ihmme,O
sölliches,O
niemands,O
inn,O
sin,O
geben,O
.,O
Allein,O
habe,O
er,O
vor,O
dreyen,O
jaren,O
als,O
Gabriel,B-PER
Herrman,I-PER
sein,O
schlaffgsell,O
gewesen,O
sölliche,O
that,O
mit,O
ihmme,O
als,O
selbiger,O
geschlaffen,O
begangen,O
jedoch,O
nur,O
zwüschen,O
den,O
beinen,O
hindurch,O
;,O
Da,O
habe,O
ihme,O
der,O
Herrman,B-PER
gestoßen,O
unnd,O
gesagt,O
er,O
sölle,O
ihnne,O
ruhig,O
laßen,O
er,O
Herrman,B-PER
habe,O
geschlaffen,O
gehabt,O
unnd,O
als,O
er,O
erwachet,O
habe,O
er,O
sich,O
gewehrt,O
unnd,O
ihnne,O
Roder,B-PER
morndnest,O
verklagt,O
.,O
Da,O
seye,O
er,O
vom,O
.,O
knecht,O
Rudolff,B-PER
Demmerlin,B-PER
genant,O
von,O
übel,O
mit,O
stäcken,O
unnd,O
kinderzähnen,O
geschlagen,O
und,O
gestrafft,O
worden,O
und,O
habe,O
der,O
Herrman,B-PER
nit,O
mehr,O
by,O
ihmme,O
ligen,O
wollen,O
.,O
Endlichen,O
ist,O
er,O
auch,O
befragt,O
worden,O
ob,O
er,O
nit,O
gewüßt,O
daß,O
diß,O
ein,O
so,O
große,O
Sünd,O
seye,O
?,O
sagt,O
er,O
habe,O
nit,O
gemeint,O
daß,O
ein,O
so,O
groß,O
übel,O
darus,O
entstehe,O
.,O
Bätte,O
gott,O
unnd,O
ein,O
gnädige,O
ober,O
-,O
kheit,O
umb,O
verzychung,O
.,O
Proces,O
an,O
der,O
Creützgaßen,O
.,O
Wylen,O
nur,O
der,O
zu,O
verlesen,O
im,O
fahl,O
obgemelter,O
zum,O
todt,O
verurtheilt,O
als,O
ist,O
das,O
Roder,B-PER
oder,O
beide,O
zum,O
todt,O
an,O
der,O
Kreützgaßen,O
nit,O
sollten,O
verurtheilt,O
werden,O
.,O
verlesen,O
worden,O
.,O
Es,O
pflegt,O
der,O
allgemeine,O
abge,O
-,O
sagte,O
feind,O
gottes,O
und,O
der,O
möntschen,O
der,O
leidige,O
satan,O
inn,O
anfechtung,O
und,O
5,O
unnd,O
bestreitung,O
mentschlicher,O
seelen,O
sich,O
zweyer,O
starcken,O
mittlern,O
und,O
mitthelfferen,O
zegebruchen,O
die,O
mentschen,O
ze,O
bethören,O
unnd,O
under,O
sein,O
rych,O
zebringen,O
Als,O
namlichen,O
der,O
welt,O
unnd,O
dan,O
der,O
mentschen,O
eignen,O
fleisches,O
unnd,O
verderbter,O
natur,O
durch,O
welliche,O
zwey,O
neben,O
seiner,O
eignen,O
arglistigkeit,O
unnd,O
betrug,O
er,O
seit,O
anfang,O
der,O
welt,O
jar,O
unzahbare,O
persohnen,O
bestritten,O
unnd,O
under,O
sein,O
gehorsam,O
gebracht,O
;,O
unnd,O
louffet,O
noch,O
täglich,O
umbher,O
wie,O
ein,O
brülender,O
löüw,O
unnd,O
suchet,O
wen,O
er,O
verschlinge,O
wie,O
bezüget,O
der,O
heilige,O
Apostel,B-PER
Petrus,I-PER
inn,O
seiner,O
ersten,O
epistel,O
inn,O
dem,O
5ten,O
.,O
.,O
.,O
die,O
einten,O
verblendet,O
er,O
mit,O
der,O
welt,O
und,O
schätzen,O
unnd,O
gaben,O
dardurch,O
er,O
sy,O
den,O
gebotten,O
gottes,O
zuwiderhandlen,O
antrybet,O
;,O
Die,O
anderen,O
aber,O
verführet,O
er,O
mit,O
ihrem,O
eigenen,O
fleisch,O
mit,O
ihrem,O
eigenen,O
fleisch,O
unnd,O
verderbter,O
natur,O
und,O
by,O
ihnen,O
allerley,O
böse,O
und,O
fleischliche,O
gelüst,O
unnd,O
begirden,O
unnd,O
schaffet,O
daß,O
sy,O
vonn,O
ihrem,O
eigenen,O
lust,O
gereitzt,O
werden:,O
Darnach,O
wan,O
die,O
gelust,O
empfangen,O
hat,O
gebirt,O
sy,O
die,O
sünde,O
die,O
sünd,O
aber,O
wan,O
sy,O
vollendet,O
ist,O
gebirt,O
sy,O
den,O
todt,O
wie,O
gelehrt,O
wirt,O
inn,O
der,O
epistel,O
deß,O
heiligen,O
Apostel,B-PER
Jacobs,I-PER
am,O
ersten,O
capitel,O
im,O
15,O
.,O
vers,O
Allso,O
hat,O
der,O
leidige,O
Satan,O
durch,O
allerley,O
böse,O
fleischliche,O
unordenliche,O
wider,O
das,O
gsatz,O
Gottes,O
unnd,O
die,O
Natur,O
lauffende,O
unreine,O
gelüst,O
unnd,O
vollbringung,O
derselbigen,O
nit,O
nur,O
allein,O
die,O
Weltt,O
und,O
lend,O
er,O
.,O
etc,O
Sodoma,O
unnd,O
Gomorra,O
mit,O
ihren,O
ynwohneren,O
(,O
ußert,O
Lodt,O
dem,O
frommen,O
mann,O
und,O
der,O
synigen,O
),O
inn,O
das,O
ußerste,O
verderben,O
unnd,O
undergang,O
gestürtzet,O
daß,O
sy,O
mit,O
schwebel,O
unnd,O
füwr,O
vom,O
himmel,O
herab,O
verzehrt,O
worden,O
wie,O
gelesen,O
wirt,O
im,O
ersten,O
buch,O
Mosis,O
am,O
19,O
.,O
capitel,O
sonderen,O
laßt,O
noch,O
heüt,O
by,O
tag,O
nit,O
nach,O
underschidenliche,O
möntschen,O
inn,O
allerley,O
unnd,O
auch,O
glyche,O
sodomytische,O
abscheüwliche,O
widernatürliche,O
unkeüsche,O
begirden,O
unnd,O
werck,O
zeverleiten,O
unnd,O
ze,O
stürtzen,O
wie,O
wir,O
dan,O
auch,O
jetz,O
under,O
ein,O
truriges,O
exempel,O
vor,O
augen,O
haben,O
an,O
disem,O
(,O
oder,O
disen,O
),O
armen,O
jungen,O
gesellen,O
Abraham,B-PER
Roder,B-PER
(,O
unnd,O
Samuel,B-PER
Schnyder,I-PER
),O
welcher,O
(,O
da,O
der,O
einte,O
als,O
Abraham,B-PER
Roder,I-PER
),O
durch,O
sein,O
eigen,O
fleisch,O
inn,O
unreinen,O
widernatürlichen,O
begirden,O
sich,O
so,O
weit,O
vergeßen,O
daß,O
anstatt,O
daß,O
er,O
nach,O
der,O
vermahnung,O
deß,O
heiligen,O
Apostels,B-PER
Pauli,B-PER
so,O
wir,O
lesen,O
an,O
die,O
Römer,O
im,O
6,O
.,O
capitel,O
die,O
sünd,O
nit,O
hette,O
söllen,O
herschen,O
laßen,O
inn,O
seinem,O
sterblichen,O
lyb,O
ihr,O
gehorsam,O
zeleisten,O
inn,O
ihren,O
lüsten,O
sonderen,O
synen,O
lyb,O
unnd,O
glider,O
gott,O
darstellen,O
zu,O
waffen,O
der,O
gerechtigkeit,O
er,O
denselbigen,O
unnd,O
seine,O
glider,O
leider,O
übel,O
mißbrucht,O
(,O
der,O
ander,O
aber,O
als,O
Samuel,B-PER
Schnyder,I-PER
mißbruchen,O
laßen,O
),O
inn,O
schandlicher,O
widernatürlicher,O
sodomytischer,O
wider,O
das,O
verbott,O
gottes,O
welliches,O
an,O
underschidenlichen,O
orthen,O
heiliger,O
und,O
göttlicher,O
schrifft,O
6,O
schrifft,O
unnd,O
vorgetragen,O
und,O
beschriben,O
ist,O
Alß,O
im,O
dritten,O
buch,O
Mosis,O
am,O
20,O
.,O
capitel,O
inn,O
dem,O
13,O
.,O
vers,O
.,O
Auch,O
zum,O
am,O
1,O
.,O
capitel,O
27,O
.,O
vers,O
und,O
inn,O
der,O
ersten,O
epistel,O
Pauli,O
zum,O
Corintheren,O
am,O
6,O
.,O
capitel,O
9,O
.,O
vers,O
unnd,O
inn,O
der,O
ersten,O
an,O
Thimotheum,O
am,O
ersten,O
capitel,O
10,O
.,O
vers,O
.,O
Nach,O
dem,O
nun,O
unsereren,O
gnädigen,O
herren,O
unnd,O
oberen,O
sollche,O
deß,O
(,O
oder,O
der,O
),O
gegenwürtig,O
Abraham,B-PER
Roders,I-PER
(,O
und,O
Samuel,B-PER
Schnyders,I-PER
),O
hoches,O
und,O
schweres,O
verbrechen,O
vorgebracht,O
worden,O
habend,O
selbige,O
uß,O
oberkheitlicher,O
pflicht,O
als,O
statthallter,O
gottes,O
das,O
böse,O
ußzerotten,O
unnd,O
abzestraffen,O
unnd,O
hingegen,O
alle,O
ehrbar,O
-,O
keit,O
zu,O
pflantzen,O
gedachten,O
Roder,B-PER
(,O
unnd,O
Schnyder,B-PER
),O
inn,O
verhafft,O
nemmen,O
sein,O
(,O
oder,O
ihr,O
),O
verbrechen,O
erforschen,O
und,O
ihnne,O
(,O
oder,O
sy,O
),O
darüber,O
underschidenlichermahlen,O
und,O
sonderlich,O
den,O
.,O
Martii,O
.,O
durch,O
den,O
hochgeehrten,O
ehrenhaften,O
frommen,O
.,O
fürnehmmen,O
fürsichtigen,O
und,O
wysen,O
herren,O
HR,O
Niclaus,B-PER
Jenner,I-PER
deß,O
täglichen,O
rahts,B-ORG
als,O
harzu,O
verordneten,O
examinatoren,O
inn,O
bywesen,O
der,O
ehrenhaften,O
fürsichtigen,O
unnd,O
wysen,O
herren,O
.,O
David,B-PER
Müllers,I-PER
gleits,O
herren,O
von,O
den,O
Burgeren,O
und,O
herren,B-PER
großweibel,B-PER
Im,I-PER
Hooffs,I-PER
beid,O
deß,O
großen,B-ORG
rahts,B-ORG
neben,O
zweyen,O
ihr,O
zu,O
dienern,O
unnd,O
weiblen,O
examinieren,O
laßen,O
welche,O
arme,O
persohn,O
(,O
oder,O
persohnen,O
),O
nach,O
demme,O
sy,O
ernstwortig,O
examiniert,O
worden,O
freywillig,O
unnd,O
ohne,O
marter,O
bekent,O
(,O
benambtlich,O
Abraham,B-PER
Roder,I-PER
),O
daß,O
er,O
leider,O
ja,O
mit,O
der,O
großen,O
unnd,O
schweren,O
sünd,O
der,O
widernatürlichen,O
sodomytischen,O
that,O
sich,O
vier,O
oder,O
fünff,O
mahl,O
beflecket,O
unnd,O
sich,O
allso,O
durch,O
sein,O
eigen,O
fleisch,O
schandlich,O
reitzen,O
unnd,O
verführen,O
laßen,O
dardurch,O
er,O
nit,O
nur,O
allein,O
sich,O
selbsten,O
befleckt,O
unnd,O
inn,O
lebensverwürckung,O
gestürtzt,O
sonderen,O
auch,O
seinen,O
nebendmentschen,O
demme,O
er,O
vihlmehr,O
vor,O
schand,O
unnd,O
befleckung,O
hette,O
sein,O
söllen,O
inn,O
glyche,O
gefahr,O
der,O
verwürkung,O
lyb,O
unnd,O
lebens,O
glychsam,O
gwaltthätiger,O
wys,O
gesetzet,O
und,O
gebracht,O
welches,O
ihmme,O
auch,O
von,O
hertzen,O
leid,O
wie,O
er,O
dan,O
ein,O
großes,O
reüwen,O
darüber,O
erzeigt,O
.,O
(,O
der,O
ander,O
aber,O
als,O
Samuel,B-PER
Schnyder,B-PER
wie,O
wohl,O
mit,O
etwas,O
abmahnung,O
sich,O
biß,O
inn,O
vier,O
oder,O
fünff,O
mahl,O
beflecken,O
laßen,O
unnd,O
befleckt,O
zu,O
werden,O
geduldet,O
so,O
ihmme,O
dan,O
auch,O
hertzlich,O
leid,O
unnd,O
ein,O
hertzliche,O
reüw,O
erzeigt,O
),O
Unnd,O
diewylen,O
nun,O
sölche,O
abscheüliche,O
widernatürliche,O
that,O
von,O
Gott,O
dem,O
Allmechtigen,O
mit,O
dem,O
tod,O
zu,O
straffen,O
befolchen,O
im,O
dritten,O
buch,O
Mosis,O
am,O
20,O
.,O
capitel,O
als,O
habend,O
myn,B-PER
gnädig,I-PER
herren,B-PER
schultheiß,I-PER
räht,O
unnd,O
burger,O
diser,O
freyen,O
loblichen,O
statt,O
Bern,O
uff,O
ihren,O
eyd,O
zu,O
recht,O
erkent,O
und,O
gesprochen:,O
daß,O
er,O
(,O
oder,O
sy,O
),O
neben,O
syner,O
(,O
oder,O
ihrer,O
),O
seelen,O
Gott,O
dem,O
Allmechtigen,O
dem,O
scharpf,O
-,O
richter,O
sölle,O
(,O
oder,O
söllen,O
),O
übergeben,O
werden,O
der,O
ihnne,O
(,O
oder,O
sy,O
),O
oben,O
auß,O
uff,O
dem,O
ge,O
etc,O
.,O
gewohnlichen,O
richt,O
-,O
platz,O
führen,O
unnd,O
ihmme,O
(,O
oder,O
ihnen,O
),O
daselbsten,O
mit,O
dem,O
Schwert,O
den,O
(,O
oder,O
die,O
),O
Kopf,O
abschlagen,O
unnd,O
allso,O
ihnne,O
(,O
oder,O
sy,O
),O
nach,O
dem,O
befelch,O
Gottes,O
vom,O
leben,O
zum,O
todt,O
nach,O
diser,O
loblichen,O
statt,O
althargebrachten,O
freyheiten,O
unnd,O
rechten,O
hinrichten,O
